anchor_year,eval_tower,model,date,q05,median,q95,y_true
2019,9,Ensemble_MASEweighted,2020-04-25,15.026466935721738,72.70880001296351,158.11619448452413,15.437949832749998
2019,9,Ensemble_MASEweighted,2020-04-26,15.159303868531987,71.574564136486,158.90074492897,38.63934210032143
2019,9,Ensemble_MASEweighted,2020-04-27,15.83400174123288,71.93642482287096,157.20570844339716,33.166597521111115
2019,9,Ensemble_MASEweighted,2020-04-28,15.912575977580918,72.7455466558877,156.6099378493625,
2019,9,Ensemble_MASEweighted,2020-04-29,18.809254192310405,75.48034077074632,170.4142072570939,12.086560211066669
2019,9,Ensemble_MASEweighted,2020-04-30,18.531720225684293,75.38157156478589,161.68363088338862,17.098077065083334
2019,9,Ensemble_MASEweighted,2020-05-01,16.86655845279852,71.47495639325135,157.9986256606692,276.2311545700333
2019,9,Ensemble_MASEweighted,2020-05-02,13.270005241061313,68.86626912560574,150.13894693387567,153.4260269387222
2019,9,Ensemble_MASEweighted,2020-05-03,15.490932398338405,70.90773148835055,160.21552542845419,302.5900384393889
2019,9,Ensemble_MASEweighted,2020-05-04,15.492850518054599,72.47617053691616,169.3465748330775,180.25104963685
2019,9,Ensemble_MASEweighted,2020-05-05,17.55047713959195,75.40726193168683,176.75933222602828,105.6235138638
2019,9,Ensemble_MASEweighted,2020-05-06,15.327568214992985,72.98512122453849,172.86654445969555,68.78809276758334
2019,9,Ensemble_MASEweighted,2020-05-07,15.88694534451054,73.73534241296768,171.44164905318476,48.81671362271875
2019,9,Ensemble_MASEweighted,2020-05-08,14.597452988521232,72.42176672044903,168.745786038573,171.47433749815627
2019,9,Ensemble_MASEweighted,2020-05-09,13.218763137908777,69.60465636447834,169.1700270895023,-7.965376259833335
2019,9,Ensemble_MASEweighted,2020-05-10,15.05806572108439,72.21215778280327,167.7207922766539,74.94801004416667
2019,9,Ensemble_MASEweighted,2020-05-11,15.810807214376661,75.24975445992648,176.06401285477727,63.46431636357143
2019,9,Ensemble_MASEweighted,2020-05-12,11.371523517934834,69.11389877512094,168.25617633177603,121.94594218916666
2019,9,Ensemble_MASEweighted,2020-05-13,13.049215227479255,71.09288326897678,167.19647433977227,157.26146139666668
2019,9,Ensemble_MASEweighted,2020-05-14,11.941078303892086,70.12639309278883,170.86626641026126,126.23775268903572
2019,9,Ensemble_MASEweighted,2020-05-15,11.124684747023986,67.77744920644153,154.40566366470458,48.41355540545833
2019,9,Ensemble_MASEweighted,2020-05-16,10.328270089154962,67.13049781300987,148.11545994034412,304.4133127788824
2019,9,Ensemble_MASEweighted,2020-05-17,11.184247069206512,66.6169155999569,148.82131798006225,15.47480481435714
2019,9,Ensemble_MASEweighted,2020-05-18,10.108550983348385,65.9951307338116,152.276044133498,125.839215354
2019,9,Ensemble_MASEweighted,2020-05-19,11.04836721166643,66.70780948626614,148.44932318380503,46.27886593716666
2019,9,Ensemble_MASEweighted,2020-05-20,10.72294438206272,67.57442893664498,168.04723843716133,93.578770012
2019,9,Ensemble_MASEweighted,2020-05-21,12.369219498086077,66.80618846746567,162.87010472439687,161.3031914325
2019,9,Ensemble_MASEweighted,2020-05-22,14.766981522552275,69.27047763886759,155.61966943537254,124.08521220072222
2019,9,Ensemble_MASEweighted,2020-05-23,14.66759051280869,71.71218336063468,160.05067249274987,111.42832605004546
2019,9,Ensemble_MASEweighted,2020-05-24,11.228317793603019,66.10215685748071,147.8136943662093,20.194154135192317
2019,9,Ensemble_MASEweighted,2020-05-25,9.12151708981405,63.63813171447401,151.50482957687342,134.0108298077
2019,9,Ensemble_MASEweighted,2020-05-26,-22.9780980136763,23.33066801193654,81.82975449447719,-54.7786411555
2019,9,Ensemble_MASEweighted,2020-05-27,-23.799148595056522,19.51928732624905,69.53892547936519,-24.8811761048
2019,9,Ensemble_MASEweighted,2020-05-28,-30.448255527495142,12.56165147492698,65.41926260353722,0.0716267166000011
2019,9,Ensemble_MASEweighted,2020-05-29,-29.593405923326742,11.90012644944236,69.10160064274604,-11.542921979714285
2019,9,Ensemble_MASEweighted,2020-05-30,-1.2766052272322863,50.263346516311955,143.56906683360342,62.30937385053333
2019,9,Ensemble_MASEweighted,2020-05-31,2.025823978150747,57.95746863949646,150.13051102565186,34.726773522107145
2019,9,Ensemble_MASEweighted,2020-06-01,3.8023204744992576,60.63625531772388,156.60076128906994,11.539953884375
2019,9,Ensemble_MASEweighted,2020-06-02,6.720921461629214,61.020107741627726,148.7969963283947,41.726753595000005
2019,9,Ensemble_MASEweighted,2020-06-03,8.265720821485132,63.01564744333248,142.2690670280674,
2019,9,Ensemble_MASEweighted,2020-06-04,7.870691382194726,62.21390658037272,145.72018480538023,66.72221004957143
2019,9,Ensemble_MASEweighted,2020-06-05,12.762765687269725,67.37000772532124,156.1239489223987,25.825908400050004
2019,9,Ensemble_MASEweighted,2020-06-06,13.399546007947993,69.11404522292752,153.99082389037318,27.440831852153845
