bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower
8-30,21,-0.004,14.766,8.978,0.7103,0.7825,-0.045,TabPFN,2020,4
31-90,37,-0.076,45.564,26.227,0.9926,0.9043,0.6,TabPFN,2020,4
91-180,42,0.1,19.88,14.863,0.8792,0.7077,0.397,TabPFN,2020,4
181-270,79,0.033,80.503,45.003,0.8827,0.7385,0.368,TabPFN,2020,4
271-365,80,0.073,96.093,35.512,0.9056,0.8232,0.495,TabPFN,2020,4
1-7,4,-58.269,28.61,28.046,1.1485,8.5647,0.595,RF,2020,9
8-30,19,0.008,151.367,59.29,0.9622,0.9098,0.339,RF,2020,9
31-90,24,-2.904,28.282,23.872,1.1454,1.9635,0.404,RF,2020,9
91-180,57,-0.156,21.814,16.256,0.8791,0.8752,0.19,RF,2020,9
181-270,64,0.161,88.088,60.761,0.9914,0.8971,0.403,RF,2020,9
271-365,86,0.115,49.982,31.169,0.8995,0.9469,0.404,RF,2020,9
1-7,4,-68.778,31.043,30.561,1.2515,9.3326,0.471,XGB,2020,9
8-30,19,0.035,149.279,59.909,0.9722,0.9193,0.381,XGB,2020,9
31-90,24,-3.719,31.092,24.63,1.1817,2.0258,0.263,XGB,2020,9
91-180,57,-0.162,21.873,16.205,0.8763,0.8725,0.12,XGB,2020,9
181-270,64,0.19,86.575,57.953,0.9455,0.8557,0.466,XGB,2020,9
271-365,86,0.125,49.681,30.623,0.8837,0.9303,0.399,XGB,2020,9
1-7,4,-56.661,28.219,27.811,1.1389,8.4927,0.448,LightGBM,2020,9
8-30,19,0.056,147.662,60.231,0.9775,0.9242,0.443,LightGBM,2020,9
31-90,24,-4.157,32.505,26.138,1.2541,2.1499,0.306,LightGBM,2020,9
91-180,57,-0.119,21.464,15.777,0.8532,0.8494,0.125,LightGBM,2020,9
181-270,64,0.165,87.892,60.043,0.9796,0.8865,0.43,LightGBM,2020,9
