bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,target,model,config,anchor_year,tower
271-365,95,-0.035,39.904,25.292,0.9415,0.7574,0.554,gapfilled,TabICLv2,BASE+species,2018,4
1-7,1,,,,,,,observed,TabPFN,BASE+arable,2018,4
8-30,7,-0.295,9.722,6.004,0.3958,0.8586,0.101,observed,TabPFN,BASE+arable,2018,4
31-90,33,-0.351,18.638,11.651,0.7093,0.955,0.199,observed,TabPFN,BASE+arable,2018,4
91-180,83,-0.226,21.241,14.759,0.8098,1.1945,-0.002,observed,TabPFN,BASE+arable,2018,4
181-270,72,-0.199,87.306,57.593,0.9426,0.8243,0.186,observed,TabPFN,BASE+arable,2018,4
271-365,67,-0.091,64.734,27.548,0.9049,0.8963,0.013,observed,TabPFN,BASE+arable,2018,4
1-7,7,-1.197,31.582,23.045,1.5823,0.709,-0.44,gapfilled,TabPFN,BASE+arable,2018,4
8-30,23,-0.649,15.154,11.554,1.0037,0.7123,0.767,gapfilled,TabPFN,BASE+arable,2018,4
31-90,60,-1.093,27.101,19.858,1.3618,0.9249,0.069,gapfilled,TabPFN,BASE+arable,2018,4
91-180,90,-0.318,16.282,12.711,0.8453,1.035,-0.073,gapfilled,TabPFN,BASE+arable,2018,4
181-270,90,-0.492,67.545,47.162,0.8878,0.705,0.408,gapfilled,TabPFN,BASE+arable,2018,4
271-365,95,-0.094,41.03,26.558,0.9887,0.7953,0.651,gapfilled,TabPFN,BASE+arable,2018,4
1-7,1,,,,,,,observed,TabICLv2,BASE+arable,2018,4
8-30,7,-0.236,9.5,5.717,0.3769,0.8175,-0.163,observed,TabICLv2,BASE+arable,2018,4
31-90,33,-0.285,18.175,11.402,0.6942,0.9346,0.046,observed,TabICLv2,BASE+arable,2018,4
91-180,83,-3.073,38.711,30.979,1.6999,2.5073,-0.018,observed,TabICLv2,BASE+arable,2018,4
181-270,72,-0.198,87.255,58.359,0.9552,0.8353,0.043,observed,TabICLv2,BASE+arable,2018,4
271-365,67,-0.085,64.566,27.957,0.9184,0.9096,-0.111,observed,TabICLv2,BASE+arable,2018,4
1-7,7,-1.248,31.946,23.005,1.5796,0.7078,-0.402,gapfilled,TabICLv2,BASE+arable,2018,4
8-30,23,-0.735,15.546,11.841,1.0286,0.73,0.739,gapfilled,TabICLv2,BASE+arable,2018,4
31-90,60,-0.937,26.074,18.066,1.2389,0.8415,-0.144,gapfilled,TabICLv2,BASE+arable,2018,4
91-180,90,-4.96,34.626,26.911,1.7895,2.1913,-0.088,gapfilled,TabICLv2,BASE+arable,2018,4
181-270,90,-0.465,66.941,46.957,0.884,0.7019,0.234,gapfilled,TabICLv2,BASE+arable,2018,4
271-365,95,-0.031,39.821,25.441,0.9471,0.7618,0.564,gapfilled,TabICLv2,BASE+arable,2018,4
1-7,1,,,,,,,observed,TabPFN,BASE+flow,2018,4
8-30,7,-0.268,9.622,6.004,0.3958,0.8585,-0.334,observed,TabPFN,BASE+flow,2018,4
31-90,33,-0.348,18.617,11.633,0.7082,0.9535,0.055,observed,TabPFN,BASE+flow,2018,4
91-180,83,-0.248,21.429,15.05,0.8258,1.2181,0.006,observed,TabPFN,BASE+flow,2018,4
181-270,72,-0.197,87.21,57.568,0.9422,0.824,0.229,observed,TabPFN,BASE+flow,2018,4
271-365,67,-0.089,64.682,27.6,0.9066,0.898,0.005,observed,TabPFN,BASE+flow,2018,4
1-7,7,-1.287,32.225,23.93,1.6431,0.7362,-0.486,gapfilled,TabPFN,BASE+flow,2018,4
8-30,23,-0.679,15.293,11.619,1.0093,0.7163,0.759,gapfilled,TabPFN,BASE+flow,2018,4
31-90,60,-1.076,26.993,19.691,1.3504,0.9172,0.005,gapfilled,TabPFN,BASE+flow,2018,4
91-180,90,-0.363,16.559,13.117,0.8722,1.0681,-0.072,gapfilled,TabPFN,BASE+flow,2018,4
181-270,90,-0.501,67.756,47.345,0.8913,0.7077,0.42,gapfilled,TabPFN,BASE+flow,2018,4
271-365,95,-0.055,40.282,26.073,0.9706,0.7807,0.639,gapfilled,TabPFN,BASE+flow,2018,4
1-7,1,,,,,,,observed,TabICLv2,BASE+flow,2018,4
8-30,7,-0.128,9.076,5.865,0.3866,0.8387,-0.052,observed,TabICLv2,BASE+flow,2018,4
31-90,33,-0.271,18.079,11.451,0.6972,0.9386,-0.066,observed,TabICLv2,BASE+flow,2018,4
91-180,83,-2.061,33.558,25.644,1.4072,2.0756,-0.057,observed,TabICLv2,BASE+flow,2018,4
181-270,72,-0.205,87.52,58.525,0.9579,0.8377,0.047,observed,TabICLv2,BASE+flow,2018,4
271-365,67,-0.103,65.09,27.7,0.9099,0.9013,-0.091,observed,TabICLv2,BASE+flow,2018,4
1-7,7,-1.16,31.312,22.207,1.5247,0.6832,-0.471,gapfilled,TabICLv2,BASE+flow,2018,4
