bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,config,anchor_year,tower
91-180,0,,,,,,,Ensemble_MASEweighted,BASE+species,2018,9
181-270,0,,,,,,,Ensemble_MASEweighted,BASE+species,2018,9
271-365,0,,,,,,,Ensemble_MASEweighted,BASE+species,2018,9
1-7,6,-2.767,19.047,18.761,0.5106,1.0324,0.977,RF,BASE+arable,2018,2
8-30,21,-0.249,11.713,11.182,0.2401,1.2008,-0.026,RF,BASE+arable,2018,2
31-90,32,-1.214,19.135,15.954,0.3508,1.3738,-0.2,RF,BASE+arable,2018,2
91-180,43,-0.725,29.996,22.971,0.3736,1.4497,0.194,RF,BASE+arable,2018,2
181-270,0,,,,,,,RF,BASE+arable,2018,2
271-365,0,,,,,,,RF,BASE+arable,2018,2
1-7,6,-2.609,18.644,18.191,0.495,1.001,0.939,XGB,BASE+arable,2018,2
8-30,21,0.095,9.971,9.222,0.198,0.9903,0.539,XGB,BASE+arable,2018,2
31-90,32,-0.565,16.086,12.444,0.2736,1.0715,-0.135,XGB,BASE+arable,2018,2
91-180,43,-0.637,29.224,22.101,0.3595,1.3948,0.223,XGB,BASE+arable,2018,2
181-270,0,,,,,,,XGB,BASE+arable,2018,2
271-365,0,,,,,,,XGB,BASE+arable,2018,2
1-7,6,-2.183,17.508,16.925,0.4606,0.9314,0.89,LightGBM,BASE+arable,2018,2
8-30,21,-0.009,10.526,9.791,0.2102,1.0515,0.419,LightGBM,BASE+arable,2018,2
31-90,32,-0.652,16.528,12.852,0.2826,1.1067,-0.227,LightGBM,BASE+arable,2018,2
91-180,43,-0.628,29.14,22.006,0.3579,1.3888,0.272,LightGBM,BASE+arable,2018,2
181-270,0,,,,,,,LightGBM,BASE+arable,2018,2
271-365,0,,,,,,,LightGBM,BASE+arable,2018,2
1-7,6,-1.087,14.179,12.876,0.3504,0.7086,0.803,SARIMAX,BASE+arable,2018,2
8-30,21,-2.926,20.765,18.305,0.393,1.9657,0.067,SARIMAX,BASE+arable,2018,2
31-90,32,-3.521,27.341,25.472,0.56,2.1934,0.17,SARIMAX,BASE+arable,2018,2
91-180,43,-3.496,48.427,43.274,0.7039,2.731,-0.138,SARIMAX,BASE+arable,2018,2
181-270,0,,,,,,,SARIMAX,BASE+arable,2018,2
271-365,0,,,,,,,SARIMAX,BASE+arable,2018,2
1-7,6,-1.953,16.865,16.688,0.4542,0.9184,0.969,Ensemble_unweighted,BASE+arable,2018,2
8-30,21,-0.415,12.466,11.624,0.2496,1.2483,0.46,Ensemble_unweighted,BASE+arable,2018,2
31-90,32,-1.079,18.543,15.89,0.3494,1.3683,-0.137,Ensemble_unweighted,BASE+arable,2018,2
91-180,43,-1.171,33.652,26.972,0.4387,1.7022,0.152,Ensemble_unweighted,BASE+arable,2018,2
181-270,0,,,,,,,Ensemble_unweighted,BASE+arable,2018,2
271-365,0,,,,,,,Ensemble_unweighted,BASE+arable,2018,2
1-7,6,-1.967,16.905,16.725,0.4552,0.9204,0.968,Ensemble_MASEweighted,BASE+arable,2018,2
8-30,21,-0.395,12.376,11.554,0.248,1.2407,0.462,Ensemble_MASEweighted,BASE+arable,2018,2
31-90,32,-1.057,18.442,15.765,0.3466,1.3576,-0.139,Ensemble_MASEweighted,BASE+arable,2018,2
91-180,43,-1.15,33.486,26.783,0.4356,1.6902,0.157,Ensemble_MASEweighted,BASE+arable,2018,2
181-270,0,,,,,,,Ensemble_MASEweighted,BASE+arable,2018,2
271-365,0,,,,,,,Ensemble_MASEweighted,BASE+arable,2018,2
1-7,1,,,,,,,RF,BASE+arable,2018,4
8-30,7,-0.568,10.699,10.182,0.6712,1.456,0.623,RF,BASE+arable,2018,4
31-90,33,0.042,15.692,13.885,0.8454,1.1381,0.539,RF,BASE+arable,2018,4
91-180,83,-0.806,25.779,19.62,1.0766,1.588,0.233,RF,BASE+arable,2018,4
181-270,72,0.135,74.135,56.082,0.9179,0.8027,0.375,RF,BASE+arable,2018,4
271-365,67,-0.054,63.642,37.402,1.2286,1.2169,0.071,RF,BASE+arable,2018,4
1-7,1,,,,,,,XGB,BASE+arable,2018,4
8-30,7,-0.084,8.895,7.749,0.5108,1.1081,0.518,XGB,BASE+arable,2018,4
31-90,33,0.017,15.899,12.295,0.7486,1.0078,0.251,XGB,BASE+arable,2018,4
91-180,83,-0.398,22.676,16.217,0.8899,1.3126,0.21,XGB,BASE+arable,2018,4
181-270,72,0.063,77.164,58.826,0.9628,0.842,0.281,XGB,BASE+arable,2018,4
271-365,67,0.064,59.97,30.893,1.0148,1.0052,0.271,XGB,BASE+arable,2018,4
1-7,1,,,,,,,LightGBM,BASE+arable,2018,4
8-30,7,-0.453,10.297,9.643,0.6357,1.3789,0.618,LightGBM,BASE+arable,2018,4
31-90,33,0.088,15.309,11.496,0.6999,0.9423,0.323,LightGBM,BASE+arable,2018,4
91-180,83,-0.508,23.556,16.737,0.9184,1.3546,0.183,LightGBM,BASE+arable,2018,4
181-270,72,0.129,74.379,55.103,0.9019,0.7887,0.376,LightGBM,BASE+arable,2018,4
271-365,67,0.059,60.12,30.408,0.9989,0.9894,0.262,LightGBM,BASE+arable,2018,4
1-7,1,,,,,,,SARIMAX,BASE+arable,2018,4
8-30,7,-1.881,14.501,13.479,0.8885,1.9275,0.555,SARIMAX,BASE+arable,2018,4
31-90,33,-0.161,17.28,15.233,0.9274,1.2486,0.327,SARIMAX,BASE+arable,2018,4
91-180,83,-0.926,26.617,22.108,1.2131,1.7893,0.213,SARIMAX,BASE+arable,2018,4
181-270,72,0.034,78.363,64.108,1.0493,0.9176,0.32,SARIMAX,BASE+arable,2018,4
271-365,67,-0.17,67.054,43.147,1.4174,1.4038,0.114,SARIMAX,BASE+arable,2018,4
1-7,1,,,,,,,Ensemble_unweighted,BASE+arable,2018,4
8-30,7,-0.603,10.816,10.263,0.6765,1.4676,0.652,Ensemble_unweighted,BASE+arable,2018,4
31-90,33,0.047,15.651,13.082,0.7965,1.0723,0.403,Ensemble_unweighted,BASE+arable,2018,4
91-180,83,-0.601,24.271,18.414,1.0104,1.4904,0.22,Ensemble_unweighted,BASE+arable,2018,4
181-270,72,0.116,74.935,57.961,0.9487,0.8296,0.342,Ensemble_unweighted,BASE+arable,2018,4
271-365,67,0.007,61.764,34.309,1.127,1.1163,0.166,Ensemble_unweighted,BASE+arable,2018,4
1-7,1,,,,,,,Ensemble_MASEweighted,BASE+arable,2018,4
8-30,7,-0.588,10.766,10.21,0.673,1.46,0.652,Ensemble_MASEweighted,BASE+arable,2018,4
31-90,33,0.049,15.638,13.039,0.7938,1.0687,0.399,Ensemble_MASEweighted,BASE+arable,2018,4
91-180,83,-0.595,24.227,18.348,1.0068,1.485,0.219,Ensemble_MASEweighted,BASE+arable,2018,4
181-270,72,0.116,74.94,57.912,0.9479,0.8289,0.342,Ensemble_MASEweighted,BASE+arable,2018,4
271-365,67,0.009,61.691,34.186,1.123,1.1123,0.169,Ensemble_MASEweighted,BASE+arable,2018,4
1-7,0,,,,,,,RF,BASE+arable,2018,9
8-30,0,,,,,,,RF,BASE+arable,2018,9
31-90,0,,,,,,,RF,BASE+arable,2018,9
91-180,0,,,,,,,RF,BASE+arable,2018,9
