tower,anchor_year,model,bin,n,R2,RMSE,MAE,WAPE,Correlation,MASE_persistence,MASE_climatology_obs,MASE_climatology_gf
2,2022,Ensemble_unweighted,271-365,0,,,,,,,,
2,2022,Ensemble_unweighted,31-90,0,,,,,,,,
2,2022,Ensemble_unweighted,8-30,0,,,,,,,,
2,2022,Ensemble_unweighted,91-180,0,,,,,,,,
2,2022,LSTM,1-7,0,,,,,,,,
2,2022,LSTM,181-270,0,,,,,,,,
2,2022,LSTM,271-365,0,,,,,,,,
2,2022,LSTM,31-90,0,,,,,,,,
2,2022,LSTM,8-30,0,,,,,,,,
2,2022,LSTM,91-180,0,,,,,,,,
2,2022,LightGBM,1-7,0,,,,,,,,
2,2022,LightGBM,181-270,0,,,,,,,,
2,2022,LightGBM,271-365,0,,,,,,,,
2,2022,LightGBM,31-90,0,,,,,,,,
2,2022,LightGBM,8-30,0,,,,,,,,
2,2022,LightGBM,91-180,0,,,,,,,,
2,2022,RF,1-7,0,,,,,,,,
2,2022,RF,181-270,0,,,,,,,,
2,2022,RF,271-365,0,,,,,,,,
2,2022,RF,31-90,0,,,,,,,,
2,2022,RF,8-30,0,,,,,,,,
2,2022,RF,91-180,0,,,,,,,,
2,2022,SARIMAX,1-7,0,,,,,,,,
2,2022,SARIMAX,181-270,0,,,,,,,,
2,2022,SARIMAX,271-365,0,,,,,,,,
2,2022,SARIMAX,31-90,0,,,,,,,,
2,2022,SARIMAX,8-30,0,,,,,,,,
2,2022,SARIMAX,91-180,0,,,,,,,,
2,2022,TFT,1-7,0,,,,,,,,
2,2022,TFT,181-270,0,,,,,,,,
2,2022,TFT,271-365,0,,,,,,,,
2,2022,TFT,31-90,0,,,,,,,,
2,2022,TFT,8-30,0,,,,,,,,
2,2022,TFT,91-180,0,,,,,,,,
2,2022,TabICLv2,1-7,0,,,,,,,,
2,2022,TabICLv2,181-270,0,,,,,,,,
2,2022,TabICLv2,271-365,0,,,,,,,,
2,2022,TabICLv2,31-90,0,,,,,,,,
2,2022,TabICLv2,8-30,0,,,,,,,,
2,2022,TabICLv2,91-180,0,,,,,,,,
