bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant
31-90,32,0.0,22.407,16.787,0.7671,0.7686,0.171,XGB,2019,4,A_removal
91-180,62,0.14,81.234,48.698,0.6404,0.641,0.449,XGB,2019,4,A_removal
181-270,61,0.551,24.273,16.796,0.5963,0.5971,0.759,XGB,2019,4,A_removal
271-365,66,0.133,49.136,21.603,0.8169,0.8186,0.371,XGB,2019,4,A_removal
1-7,0,,,,,,,LightGBM,2019,4,A_removal
8-30,8,-2.195,59.227,48.444,1.2668,1.2656,-0.368,LightGBM,2019,4,A_removal
31-90,32,0.061,21.719,16.107,0.7361,0.7374,0.305,LightGBM,2019,4,A_removal
91-180,62,0.108,82.69,48.276,0.6349,0.6354,0.438,LightGBM,2019,4,A_removal
181-270,61,0.549,24.32,16.818,0.5971,0.5979,0.753,LightGBM,2019,4,A_removal
271-365,66,0.085,50.481,21.698,0.8205,0.8222,0.293,LightGBM,2019,4,A_removal
1-7,0,,,,,,,SARIMAX,2019,4,A_removal
8-30,8,-1.137,48.434,37.829,0.9892,0.9883,-0.955,SARIMAX,2019,4,A_removal
31-90,32,-0.529,27.712,22.92,1.0474,1.0494,-0.369,SARIMAX,2019,4,A_removal
91-180,62,0.218,77.456,51.567,0.6782,0.6788,0.474,SARIMAX,2019,4,A_removal
181-270,61,0.472,26.329,20.177,0.7163,0.7172,0.77,SARIMAX,2019,4,A_removal
271-365,66,0.114,49.67,25.547,0.9661,0.968,0.422,SARIMAX,2019,4,A_removal
1-7,0,,,,,,,Ensemble_unweighted,2019,4,A_removal
8-30,8,-2.092,58.258,47.2,1.2343,1.2331,-0.379,Ensemble_unweighted,2019,4,A_removal
31-90,32,0.052,21.827,16.775,0.7666,0.768,0.227,Ensemble_unweighted,2019,4,A_removal
91-180,62,0.17,79.79,48.653,0.6398,0.6404,0.459,Ensemble_unweighted,2019,4,A_removal
181-270,61,0.569,23.787,16.702,0.5929,0.5937,0.768,Ensemble_unweighted,2019,4,A_removal
271-365,66,0.133,49.123,20.608,0.7793,0.7809,0.376,Ensemble_unweighted,2019,4,A_removal
1-7,0,,,,,,,Ensemble_MASEweighted,2019,4,A_removal
8-30,8,-2.1,58.342,47.293,1.2367,1.2355,-0.381,Ensemble_MASEweighted,2019,4,A_removal
31-90,32,0.052,21.823,16.752,0.7655,0.767,0.228,Ensemble_MASEweighted,2019,4,A_removal
91-180,62,0.169,79.848,48.651,0.6398,0.6404,0.459,Ensemble_MASEweighted,2019,4,A_removal
181-270,61,0.569,23.792,16.695,0.5927,0.5935,0.768,Ensemble_MASEweighted,2019,4,A_removal
271-365,66,0.133,49.14,20.628,0.7801,0.7816,0.375,Ensemble_MASEweighted,2019,4,A_removal
1-7,0,,,,,,,RF,2019,4,B_resample
8-30,8,-2.228,59.529,48.832,1.2769,1.2757,-0.396,RF,2019,4,B_resample
31-90,32,0.029,22.09,16.858,0.7704,0.7718,0.18,RF,2019,4,B_resample
91-180,62,0.192,78.742,49.331,0.6488,0.6493,0.452,RF,2019,4,B_resample
181-270,61,0.549,24.341,18.473,0.6558,0.6567,0.775,RF,2019,4,B_resample
271-365,66,0.152,48.589,20.453,0.7734,0.775,0.429,RF,2019,4,B_resample
1-7,0,,,,,,,XGB,2019,4,B_resample
8-30,8,-1.889,56.315,44.787,1.1712,1.1701,-0.394,XGB,2019,4,B_resample
31-90,32,-0.042,22.877,18.012,0.8231,0.8246,0.07,XGB,2019,4,B_resample
91-180,62,0.176,79.518,48.006,0.6313,0.6319,0.458,XGB,2019,4,B_resample
181-270,61,0.598,22.965,15.957,0.5665,0.5672,0.783,XGB,2019,4,B_resample
271-365,66,0.099,50.077,20.786,0.786,0.7876,0.34,XGB,2019,4,B_resample
1-7,0,,,,,,,LightGBM,2019,4,B_resample
8-30,8,-1.862,56.058,44.7,1.1689,1.1678,-0.4,LightGBM,2019,4,B_resample
31-90,32,0.039,21.969,17.001,0.7769,0.7784,0.249,LightGBM,2019,4,B_resample
91-180,62,0.171,79.753,47.882,0.6297,0.6303,0.466,LightGBM,2019,4,B_resample
