date,BASE+ALL__RF,BASE+ALL__XGB,BASE+ALL__LightGBM,BASE+ALL__SARIMAX,BASE+ALL__Ensemble_unweighted,BASE+ALL__Ensemble_MASEweighted,y_true,y_gapfilled,persistence,tower,anchor_year,config
2019-02-26,16.610528924770275,12.782867431640625,14.584022085173439,44.28422343095309,22.06541046813436,21.77490646039473,,14.693295833333332,54.91721666666666,2,2018,BASE+ALL
2019-02-27,16.228939611342422,11.927568435668945,13.42782000465591,39.20334304455576,20.19691777405576,19.939518323020113,,23.190841666666667,54.91721666666666,2,2018,BASE+ALL
2019-02-28,26.32865300389067,15.075626373291016,20.406172897476036,45.74660967600264,26.889265487665092,26.585530134097365,,44.40732916666667,54.91721666666666,2,2018,BASE+ALL
2019-03-01,18.475757644868352,10.549870491027832,15.153859287957836,38.389184384360064,20.64216795205352,20.377868183725873,,18.09773333333333,54.91721666666666,2,2018,BASE+ALL
2019-03-02,26.1525563861478,15.151542663574219,19.327628753554215,43.3142576127832,25.98649635401486,25.699620966835532,,39.84482083333334,54.91721666666666,2,2018,BASE+ALL
2019-03-03,32.31461229868627,20.824541091918945,23.49964909194782,42.67892356221236,29.82943151119135,29.586978689994936,,66.66335,54.91721666666666,2,2018,BASE+ALL
2019-03-04,22.47704340812514,12.7217378616333,16.27214487774869,31.123221058274485,20.648536801445402,20.45161275305412,,23.234841666666668,54.91721666666666,2,2018,BASE+ALL
2019-03-05,33.90429818273087,29.13532829284668,30.025646320427608,38.422522301900216,32.871948774476344,32.768095161247174,,39.91052916666667,54.91721666666666,2,2018,BASE+ALL
2019-03-06,30.04923604343254,26.891773223876953,27.210022468081956,40.70638533375875,31.214354267287554,31.07590942676829,,36.213725,54.91721666666666,2,2018,BASE+ALL
2019-03-07,28.510633064532623,21.70578384399414,24.023289806724787,33.52461198287487,26.941079674531608,26.811808193440612,,27.88972083333333,54.91721666666666,2,2018,BASE+ALL
2019-03-08,26.793900439687825,17.123046875,23.25579483469585,36.51886272734168,25.92290121918134,25.73288258020226,,26.92539583333333,54.91721666666666,2,2018,BASE+ALL
2019-03-09,19.93466073463369,15.404516220092773,17.29460372211718,36.34137670454196,22.2437893453464,22.04371470708884,,13.137116666666666,54.91721666666666,2,2018,BASE+ALL
2019-03-10,32.08863941986352,26.890504837036133,25.62026317284446,39.05992019137673,30.91483190528021,30.770211970831866,,52.637575,54.91721666666666,2,2018,BASE+ALL
2019-03-11,23.37055320688149,17.973405838012695,20.431268911279027,38.28936979210921,25.016149437070606,24.82010340063122,,13.2311125,54.91721666666666,2,2018,BASE+ALL
2019-03-12,35.81962186229268,32.34125518798828,28.919841592079216,40.2497348966332,34.33261338474834,34.22272479301798,,89.4043125,54.91721666666666,2,2018,BASE+ALL
2019-03-13,30.994846379567047,30.206241607666016,29.75170535223933,33.886477422612295,31.20981769052117,31.170041199927557,,17.736741666666667,54.91721666666666,2,2018,BASE+ALL
2019-03-14,33.72493958080547,34.866641998291016,32.59323756774064,54.96673064583237,39.037887448167375,38.85230929061668,,53.478033333333336,54.91721666666666,2,2018,BASE+ALL
2019-03-15,33.5379663860768,30.83130645751953,30.476118841413584,53.71174909424968,37.1392851948149,36.91886042964219,,85.62972916666666,54.91721666666666,2,2018,BASE+ALL
2019-03-16,31.921177125391136,31.205167770385742,28.48472804339768,39.86026002464525,32.86783324095495,32.77088454092815,,40.35592916666666,54.91721666666666,2,2018,BASE+ALL
2019-03-17,20.66053003999496,19.161184310913086,19.74922610199613,33.425676680892394,23.249154283449144,23.117568952286412,,8.507304166666666,54.91721666666666,2,2018,BASE+ALL
2019-03-18,15.969707576275812,14.160115242004395,15.090010996857758,31.80702301306676,19.256714207051182,19.095376596706842,,8.097033333333334,54.91721666666666,2,2018,BASE+ALL
2019-03-19,14.980469490103964,12.746304512023926,12.331645899973394,37.26230898712459,19.33018222230647,19.09751871651018,,12.7325125,54.91721666666666,2,2018,BASE+ALL
2019-03-20,13.761764519613218,12.5523042678833,13.771650352224457,34.7765258501847,18.715561247476415,18.518633568450184,13.634843732,12.9369625,54.91721666666666,2,2018,BASE+ALL
2019-03-21,13.28536345838286,13.017637252807617,12.336509279168997,33.27445152475212,17.9784903787779,17.793061201056396,,16.528679166666667,54.91721666666666,2,2018,BASE+ALL
2019-03-22,13.50666511271717,12.123634338378906,12.293986395543035,33.11895783738168,17.7608109210052,17.567627321178083,1.7614277388846156,5.266008333333333,54.91721666666666,2,2018,BASE+ALL
2019-03-23,13.169669483307244,13.108903884887695,14.081468233265193,33.97768989894806,18.584432875102046,18.40449972972339,21.583323005291664,16.152620833333334,54.91721666666666,2,2018,BASE+ALL
2019-03-24,12.981084536780372,10.555624961853027,11.647599394365043,35.56929439189688,17.68840082122383,17.459155071867514,13.3042925518,15.0424,54.91721666666666,2,2018,BASE+ALL
2019-03-25,12.965237659247554,10.258359909057617,10.650622828287508,41.11535539741227,18.74739394850124,18.460543816111333,8.5653645699375,13.5013625,54.91721666666666,2,2018,BASE+ALL
2019-03-26,12.742731712740358,10.333786964416504,10.93167427863241,34.49878818810668,17.12674528597399,16.90220842610567,-0.3992032035833331,4.749524999999999,54.91721666666666,2,2018,BASE+ALL
2019-03-27,12.426471689096015,9.397917747497559,9.253395032834147,38.93979587951731,17.504395087236258,17.22425541017766,-19.56766726491667,3.706458333333334,54.91721666666666,2,2018,BASE+ALL
2019-03-28,12.280546140405031,9.379465103149414,9.253395032834147,39.81757102913795,17.682744326381638,17.395465931995084,-26.284096359214285,0.2363583333333333,54.91721666666666,2,2018,BASE+ALL
