ssp,gcm,realization,tower,year,multiplier,model,annual_mean
ssp245,ACCESS-ESM1-5,1,2,2038,2.0,SARIMAX,20.72226513372373
ssp245,ACCESS-ESM1-5,1,2,2038,2.0,Ensemble_unweighted,21.1225945761878
ssp245,ACCESS-ESM1-5,1,2,2038,2.0,Ensemble_MASEweighted,21.127486269478304
ssp245,ACCESS-ESM1-5,1,2,2038,3.0,RF,21.716392136204473
ssp245,ACCESS-ESM1-5,1,2,2038,3.0,XGB,21.619121729184503
ssp245,ACCESS-ESM1-5,1,2,2038,3.0,LightGBM,22.204957501392865
ssp245,ACCESS-ESM1-5,1,2,2038,3.0,SARIMAX,24.74765428514633
ssp245,ACCESS-ESM1-5,1,2,2038,3.0,Ensemble_unweighted,22.572031412982046
ssp245,ACCESS-ESM1-5,1,2,2038,3.0,Ensemble_MASEweighted,22.547165611720118
ssp245,ACCESS-ESM1-5,1,2,2039,1.0,RF,20.309738195796292
ssp245,ACCESS-ESM1-5,1,2,2039,1.0,XGB,19.04811425143725
ssp245,ACCESS-ESM1-5,1,2,2039,1.0,LightGBM,19.14337964608393
ssp245,ACCESS-ESM1-5,1,2,2039,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2039,1.0,Ensemble_unweighted,18.79952701890465
ssp245,ACCESS-ESM1-5,1,2,2039,1.0,Ensemble_MASEweighted,18.81392638915055
ssp245,ACCESS-ESM1-5,1,2,2039,2.0,RF,21.36817446902064
ssp245,ACCESS-ESM1-5,1,2,2039,2.0,XGB,21.13352235245378
ssp245,ACCESS-ESM1-5,1,2,2039,2.0,LightGBM,21.457112388914744
ssp245,ACCESS-ESM1-5,1,2,2039,2.0,SARIMAX,20.72226513372373
ssp245,ACCESS-ESM1-5,1,2,2039,2.0,Ensemble_unweighted,21.17026858602822
ssp245,ACCESS-ESM1-5,1,2,2039,2.0,Ensemble_MASEweighted,21.17452342732428
ssp245,ACCESS-ESM1-5,1,2,2039,3.0,RF,21.842200490452388
ssp245,ACCESS-ESM1-5,1,2,2039,3.0,XGB,21.647785873935646
ssp245,ACCESS-ESM1-5,1,2,2039,3.0,LightGBM,22.24020623571726
ssp245,ACCESS-ESM1-5,1,2,2039,3.0,SARIMAX,24.74765428514633
ssp245,ACCESS-ESM1-5,1,2,2039,3.0,Ensemble_unweighted,22.619461721312906
ssp245,ACCESS-ESM1-5,1,2,2039,3.0,Ensemble_MASEweighted,22.594346888296393
ssp245,ACCESS-ESM1-5,1,2,2040,1.0,RF,20.087275954186165
ssp245,ACCESS-ESM1-5,1,2,2040,1.0,XGB,18.895373417579965
ssp245,ACCESS-ESM1-5,1,2,2040,1.0,LightGBM,19.029091904225403
ssp245,ACCESS-ESM1-5,1,2,2040,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2040,1.0,Ensemble_unweighted,18.67715431457317
ssp245,ACCESS-ESM1-5,1,2,2040,1.0,Ensemble_MASEweighted,18.690813825694566
ssp245,ACCESS-ESM1-5,1,2,2040,2.0,RF,21.078520048536618
ssp245,ACCESS-ESM1-5,1,2,2040,2.0,XGB,21.006765705265412
ssp245,ACCESS-ESM1-5,1,2,2040,2.0,LightGBM,21.350325363643183
ssp245,ACCESS-ESM1-5,1,2,2040,2.0,SARIMAX,20.722265133723727
ssp245,ACCESS-ESM1-5,1,2,2040,2.0,Ensemble_unweighted,21.039469062792236
ssp245,ACCESS-ESM1-5,1,2,2040,2.0,Ensemble_MASEweighted,21.043625930783875
ssp245,ACCESS-ESM1-5,1,2,2040,3.0,RF,21.557594450482007
ssp245,ACCESS-ESM1-5,1,2,2040,3.0,XGB,21.516905084374834
ssp245,ACCESS-ESM1-5,1,2,2040,3.0,LightGBM,22.129458707994292
ssp245,ACCESS-ESM1-5,1,2,2040,3.0,SARIMAX,24.74765428514633
ssp245,ACCESS-ESM1-5,1,2,2040,3.0,Ensemble_unweighted,22.487903131999367
ssp245,ACCESS-ESM1-5,1,2,2040,3.0,Ensemble_MASEweighted,22.462603438389124
ssp245,ACCESS-ESM1-5,1,2,2041,1.0,RF,20.043319907291014
ssp245,ACCESS-ESM1-5,1,2,2041,1.0,XGB,18.823168456717713
ssp245,ACCESS-ESM1-5,1,2,2041,1.0,LightGBM,18.93717665057776
