anchor_year,eval_tower,model,bin,n,raw_picp,raw_mpiw,raw_pinball,conformal_picp,conformal_mpiw,conformal_pinball,conformal_margin
2018,4,LightGBM,31-90,33,0.3939393939393939,27.566561616408045,3.642325306731349,1.0,86.77401801545926,3.375515441584144,43.38700900772963
2018,4,LightGBM,91-180,83,0.4457831325301205,27.459865950307947,5.19513450350819,1.0,164.3444651978691,5.344461779040951,82.17223259893453
2018,4,LightGBM,181-270,72,0.4722222222222222,76.84889981317613,19.258329085470592,0.8194444444444444,188.00989839019053,16.346915217910396,94.00494919509526
2018,4,LightGBM,271-365,67,0.5074626865671642,44.96104527998222,10.691883904305223,0.9104477611940298,112.11729930076639,9.834501370729834,56.058649650383195
2019,4,LightGBM,8-30,8,0.25,37.2516945453599,22.287117456609028,0.375,61.11804254064613,19.35488318296548,30.55902127032307
2019,4,LightGBM,31-90,32,0.65625,42.21799816048302,5.591620242270739,0.84375,77.12187091629718,4.681748096447815,38.56093545814859
2019,4,LightGBM,91-180,62,0.6129032258064516,85.16027510070342,15.630229384935076,0.7580645161290323,105.54319670260996,17.132456576911114,52.771598351305
2019,4,LightGBM,181-270,61,0.5573770491803278,45.118495758535865,5.422943498497086,1.0,222.71212198337338,6.69873782073953,111.35606099168666
2019,4,LightGBM,271-365,66,0.6212121212121212,37.49733944179781,7.481728725084834,0.9696969696969697,121.4469101764657,7.5247400899230215,60.72345508823285
2020,4,LightGBM,1-7,4,0.75,47.87304442844237,4.3404305607060385,0.5,31.493325565430133,4.09175307347386,15.746662782715067
2020,4,LightGBM,8-30,21,0.6190476190476191,30.565611965513092,3.737728722367361,1.0,154.8119413346139,4.644422421091267,77.40597066730693
2020,4,LightGBM,31-90,37,0.3783783783783784,42.02637426520858,9.769436400723672,0.8108108108108109,76.44860352848319,8.565976897905836,38.224301764241595
2020,4,LightGBM,91-180,42,0.5238095238095238,34.169365782746254,4.993105972389107,1.0,139.49834598908936,4.926081479146066,69.7491729945447
2020,4,LightGBM,181-270,79,0.4810126582278481,74.29165250318307,16.3982735595681,0.9493670886075949,218.98099327227703,14.448447640979202,109.49049663613852
2020,4,LightGBM,271-365,80,0.5875,50.57267001455085,13.326370651827792,0.775,88.44774951963507,13.050344047433521,44.22387475981754
2021,4,LightGBM,1-7,3,1.0,21.74988942330171,0.8748323088172372,1.0,49.7722747860522,1.3418720648630789,24.8861373930261
2021,4,LightGBM,8-30,19,0.5263157894736842,35.84652296349009,4.237746621485928,1.0,154.68918988341366,4.962556100058209,77.34459494170683
2021,4,LightGBM,31-90,50,0.6,29.899173458791505,4.627380574876444,0.94,86.68347695953433,4.245017076895805,43.341738479767166
2021,4,LightGBM,91-180,90,0.5555555555555556,89.06545097426375,17.286840703955576,0.7666666666666667,102.91572607426352,18.228183276789952,51.45786303713176
2021,4,LightGBM,181-270,88,0.36363636363636365,84.8091487281139,20.409779797729723,0.7727272727272727,174.63445664665915,18.20537459106323,87.31722832332959
2021,4,LightGBM,271-365,91,0.4725274725274725,51.71047858145454,7.559342502952187,0.9230769230769231,117.35808599072342,6.467056894003392,58.67904299536171
2022,4,LightGBM,91-180,75,0.4,34.53773679010359,7.938573135508508,0.9733333333333334,162.99540102041783,7.164204243528289,81.4977005102089
2022,4,LightGBM,181-270,74,0.44594594594594594,71.18633112903855,12.33354067726537,0.9459459459459459,214.22809102194495,10.505976535027406,107.11404551097249
2022,4,LightGBM,271-365,74,0.5,37.00301617193363,6.9815302909383545,0.918918918918919,114.19141211822773,6.0604596635280314,57.09570605911388
2019,9,LightGBM,31-90,16,0.8125,60.84028487814826,4.598009364441146,0.8125,65.69517649103098,4.475235491886049,32.84758824551549
2019,9,LightGBM,91-180,81,0.5185185185185185,82.18534924872756,12.56740035364025,0.8641975308641975,156.40648207995844,12.089072546240446,78.20324103997923
2019,9,LightGBM,181-270,49,0.3877551020408163,39.281183156874185,16.203007063208492,0.9183673469387755,179.7343216918212,12.085511554645471,89.8671608459106
2019,9,LightGBM,271-365,49,0.40816326530612246,54.29025338480295,22.448636366517693,0.8163265306122449,141.71098143263885,21.316030278097404,70.85549071631942
2020,9,LightGBM,1-7,4,0.0,56.20388371948921,6.481545876589824,0.0,16.325156635260875,8.711289273366557,8.162578317630437
2020,9,LightGBM,8-30,19,0.47368421052631576,43.863506425374766,25.273191389266582,0.8421052631578947,87.13481914772665,23.433887647046163,43.56740957386333
2020,9,LightGBM,31-90,24,0.4583333333333333,48.12296801627212,6.019949284449669,0.7916666666666666,64.80958232609628,5.086685993857974,32.40479116304814
2020,9,LightGBM,91-180,57,0.543859649122807,28.416050458024777,4.943308351799297,1.0,191.17726101655427,5.621093051447869,95.58863050827715
2020,9,LightGBM,181-270,64,0.390625,72.20881403926695,20.697239790882048,0.8125,165.8683838477209,18.054953890247358,82.93419192386045
2020,9,LightGBM,271-365,86,0.5,50.006436310668825,9.78391343389202,0.9186046511627907,164.4790974149425,8.80316280304032,82.23954870747126
