bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,target,model,config,anchor_year,tower
91-180,90,-0.731,18.661,13.604,0.9047,1.1078,-0.078,gapfilled,LSTM,BASE+species,2018,4
181-270,90,-1.554,88.37,69.244,1.3035,1.0351,-0.024,gapfilled,LSTM,BASE+species,2018,4
271-365,95,-0.245,43.775,28.518,1.0616,0.854,0.292,gapfilled,LSTM,BASE+species,2018,4
1-7,0,,,,,,,observed,TFT,BASE+species,2018,9
8-30,0,,,,,,,observed,TFT,BASE+species,2018,9
31-90,0,,,,,,,observed,TFT,BASE+species,2018,9
91-180,0,,,,,,,observed,TFT,BASE+species,2018,9
181-270,0,,,,,,,observed,TFT,BASE+species,2018,9
271-365,0,,,,,,,observed,TFT,BASE+species,2018,9
1-7,7,-0.645,74.032,44.227,1.5543,0.9729,-0.057,gapfilled,TFT,BASE+species,2018,9
8-30,23,-0.385,54.248,27.29,1.4399,0.8942,0.02,gapfilled,TFT,BASE+species,2018,9
31-90,60,-0.703,56.793,33.538,1.3662,0.9061,-0.199,gapfilled,TFT,BASE+species,2018,9
91-180,90,-13.601,42.584,31.881,4.2419,2.089,-0.13,gapfilled,TFT,BASE+species,2018,9
181-270,90,-1.308,85.989,71.562,0.8962,0.7488,0.192,gapfilled,TFT,BASE+species,2018,9
271-365,95,-0.311,31.391,22.212,1.1584,0.7494,0.351,gapfilled,TFT,BASE+species,2018,9
1-7,0,,,,,,,observed,DLinear,BASE+species,2018,9
8-30,0,,,,,,,observed,DLinear,BASE+species,2018,9
31-90,0,,,,,,,observed,DLinear,BASE+species,2018,9
91-180,0,,,,,,,observed,DLinear,BASE+species,2018,9
181-270,0,,,,,,,observed,DLinear,BASE+species,2018,9
271-365,0,,,,,,,observed,DLinear,BASE+species,2018,9
1-7,7,0.656,33.872,25.948,0.9119,0.5708,0.858,gapfilled,DLinear,BASE+species,2018,9
8-30,23,-0.656,59.329,43.145,2.2765,1.4137,0.078,gapfilled,DLinear,BASE+species,2018,9
31-90,60,-3.561,92.956,70.07,2.8544,1.8932,-0.266,gapfilled,DLinear,BASE+species,2018,9
91-180,90,-19.783,50.806,41.844,5.5676,2.7418,0.081,gapfilled,DLinear,BASE+species,2018,9
