ssp,gcm,realization,tower,year,multiplier,model,annual_mean,trend_annual_mean
ssp245,ACCESS-ESM1-5,1,9,2045,2.0,PrimaryHybrid,55.04486986541541,59.160921785319985
ssp245,ACCESS-ESM1-5,1,9,2045,3.0,PrimaryHybrid,76.3206797029475,81.1257082557565
ssp245,ACCESS-ESM1-5,1,9,2046,1.0,PrimaryHybrid,34.51352799787682,37.145530230983056
ssp245,ACCESS-ESM1-5,1,9,2046,2.0,PrimaryHybrid,54.80942295280717,59.11031670141957
ssp245,ACCESS-ESM1-5,1,9,2046,3.0,PrimaryHybrid,76.09413643869277,81.07510317185609
ssp245,ACCESS-ESM1-5,1,9,2047,1.0,PrimaryHybrid,34.64043747465479,37.20257477928723
ssp245,ACCESS-ESM1-5,1,9,2047,2.0,PrimaryHybrid,54.91005450186908,59.16736124972376
ssp245,ACCESS-ESM1-5,1,9,2047,3.0,PrimaryHybrid,76.17681256973904,81.1321477201603
ssp245,ACCESS-ESM1-5,1,9,2048,1.0,PrimaryHybrid,34.50036487940588,37.22098254116876
ssp245,ACCESS-ESM1-5,1,9,2048,2.0,PrimaryHybrid,54.7707468398384,59.18576901160528
ssp245,ACCESS-ESM1-5,1,9,2048,3.0,PrimaryHybrid,76.04323607492641,81.15055548204181
ssp245,ACCESS-ESM1-5,1,9,2049,1.0,PrimaryHybrid,35.10399849052511,37.36525256185143
ssp245,ACCESS-ESM1-5,1,9,2049,2.0,PrimaryHybrid,55.35932622408645,59.33003903228795
ssp245,ACCESS-ESM1-5,1,9,2049,3.0,PrimaryHybrid,76.63267439423043,81.29482550272448
ssp245,ACCESS-ESM1-5,1,9,2050,1.0,PrimaryHybrid,34.44352491608167,37.31711919156054
ssp245,ACCESS-ESM1-5,1,9,2050,2.0,PrimaryHybrid,54.690115017912504,59.281905661997065
ssp245,ACCESS-ESM1-5,1,9,2050,3.0,PrimaryHybrid,75.93448333074494,81.2466921324336
ssp245,ACCESS-ESM1-5,2,2,2025,1.0,PrimaryHybrid,19.786049313160543,19.613568714299852
ssp245,ACCESS-ESM1-5,2,2,2025,2.0,PrimaryHybrid,23.83440952423488,24.368269080628163
ssp245,ACCESS-ESM1-5,2,2,2025,3.0,PrimaryHybrid,27.27716262790807,29.122969446956468
ssp245,ACCESS-ESM1-5,2,2,2026,1.0,PrimaryHybrid,19.634791580497993,19.715364287955566
ssp245,ACCESS-ESM1-5,2,2,2026,2.0,PrimaryHybrid,23.6638110192046,24.47006465428387
ssp245,ACCESS-ESM1-5,2,2,2026,3.0,PrimaryHybrid,27.200347117389857,29.224765020612182
ssp245,ACCESS-ESM1-5,2,2,2027,1.0,PrimaryHybrid,19.715982036339593,19.764928650336177
ssp245,ACCESS-ESM1-5,2,2,2027,2.0,PrimaryHybrid,23.729666257391333,24.51962901666448
ssp245,ACCESS-ESM1-5,2,2,2027,3.0,PrimaryHybrid,27.19210687427084,29.27432938299279
ssp245,ACCESS-ESM1-5,2,2,2028,1.0,PrimaryHybrid,19.529712508943234,19.784832449402405
ssp245,ACCESS-ESM1-5,2,2,2028,2.0,PrimaryHybrid,23.564944689774777,24.539532815730716
ssp245,ACCESS-ESM1-5,2,2,2028,3.0,PrimaryHybrid,27.052104910710746,29.29423318205902
ssp245,ACCESS-ESM1-5,2,2,2029,1.0,PrimaryHybrid,18.864844888760995,19.766880003185804
ssp245,ACCESS-ESM1-5,2,2,2029,2.0,PrimaryHybrid,22.86998757609439,24.52158036951411
ssp245,ACCESS-ESM1-5,2,2,2029,3.0,PrimaryHybrid,26.358901781085113,29.27628073584242
ssp245,ACCESS-ESM1-5,2,2,2030,1.0,PrimaryHybrid,19.763502964850137,19.82223337902032
ssp245,ACCESS-ESM1-5,2,2,2030,2.0,PrimaryHybrid,23.81185981054933,24.576933745348622
