anchor_year,eval_tower,model,bin,date,feature,shap_value
2018,2,RF,8-30,2018-12-28,fx_wd_cos,0.12997582293023857
2018,2,RF,8-30,2018-12-28,fx_SWC_lag7,0.052027690097325247
2018,2,RF,8-30,2018-12-28,fx_TS_lag7,0.22204378141723993
2018,2,RF,8-30,2018-12-28,fx_SWC_lag14,-0.047678007157920574
2018,2,RF,8-30,2018-12-28,fx_TS_lag14,0.18822148199449903
2018,2,RF,8-30,2018-12-28,fx_SWC_lag21,0.16650142897693937
2018,2,RF,8-30,2018-12-28,fx_TS_lag21,-0.06192024848727687
2018,2,RF,8-30,2018-12-28,fx_SWC_lag28,-0.0452959335056726
2018,2,RF,8-30,2018-12-28,fx_TS_lag28,-0.14077411522326483
2018,2,RF,8-30,2018-12-28,fx_SWC_roll7,-0.2097592762261501
2018,2,RF,8-30,2018-12-28,fx_TS_roll7,-0.023284560927679682
2018,2,RF,8-30,2018-12-28,fx_SWC_roll14,-0.10431934505551715
2018,2,RF,8-30,2018-12-28,fx_TS_roll14,-0.09261031582011633
2018,2,RF,8-30,2018-12-28,fx_DOY_sin,-0.2305299764393043
2018,2,RF,8-30,2018-12-28,fx_DOY_cos,-0.2424577688989584
2018,2,RF,8-30,2018-12-28,fx_is_growing,-0.051272436010058944
2018,2,RF,8-30,2018-12-28,fx_is_winter,0.0032143630669595434
2018,2,RF,8-30,2018-12-28,fx_lsu_dens,-11.613698961107211
2018,2,RF,8-30,2018-12-28,fx_grazing_active,-0.3993574229933686
2018,2,RF,8-30,2018-12-28,fx_days_since_grazing,0.1390699227437274
2018,2,RF,8-30,2018-12-28,ar_fc_dlag1,0.006306179451768817
2018,2,RF,8-30,2018-12-28,is_t2,0.06328301517789868
2018,2,RF,8-30,2018-12-28,is_t4,0.041533643653102484
2018,2,RF,8-30,2018-12-28,is_t9,-0.04639659643315962
2018,2,XGB,8-30,2018-12-28,ar_ch4_dlag1,-5.815807342529297
2018,2,XGB,8-30,2018-12-28,ar_ch4_dlag2,-0.5114864110946655
2018,2,XGB,8-30,2018-12-28,ar_ch4_dlag3,0.25540438294410706
2018,2,XGB,8-30,2018-12-28,ar_ch4_dlag7,0.006038847379386425
2018,2,XGB,8-30,2018-12-28,ar_ch4_dlag14,-0.00042803632095456123
2018,2,XGB,8-30,2018-12-28,ar_ch4_drm7,-1.1802133321762085
2018,2,XGB,8-30,2018-12-28,fx_WS_mean,0.30625343322753906
2018,2,XGB,8-30,2018-12-28,fx_USTAR_mean,-1.366117238998413
2018,2,XGB,8-30,2018-12-28,fx_TA_mean,-0.3126843571662903
2018,2,XGB,8-30,2018-12-28,fx_TA_min,-0.028285395354032516
2018,2,XGB,8-30,2018-12-28,fx_TA_max,-0.4134969413280487
2018,2,XGB,8-30,2018-12-28,fx_VPD_mean,-0.2985973358154297
2018,2,XGB,8-30,2018-12-28,fx_SWIN_mean,0.004595017991960049
2018,2,XGB,8-30,2018-12-28,fx_RN_mean,-0.06333005428314209
2018,2,XGB,8-30,2018-12-28,fx_PPFD_mean,-0.06751283258199692
2018,2,XGB,8-30,2018-12-28,fx_SWC_mean,0.033007003366947174
2018,2,XGB,8-30,2018-12-28,fx_TS_mean,0.048393361270427704
2018,2,XGB,8-30,2018-12-28,fx_SHF_mean,-0.05414242669939995
2018,2,XGB,8-30,2018-12-28,fx_PRECIP_sum,-0.8993885517120361
2018,2,XGB,8-30,2018-12-28,fx_wd_sin,0.1461596041917801
2018,2,XGB,8-30,2018-12-28,fx_wd_cos,0.30819272994995117
2018,2,XGB,8-30,2018-12-28,fx_SWC_lag7,0.02032162807881832
2018,2,XGB,8-30,2018-12-28,fx_TS_lag7,0.2611670196056366
2018,2,XGB,8-30,2018-12-28,fx_SWC_lag14,-0.04030439257621765
2018,2,XGB,8-30,2018-12-28,fx_TS_lag14,0.019679689779877663
2018,2,XGB,8-30,2018-12-28,fx_SWC_lag21,-0.33227360248565674
2018,2,XGB,8-30,2018-12-28,fx_TS_lag21,-0.3878062665462494
2018,2,XGB,8-30,2018-12-28,fx_SWC_lag28,-0.12398797273635864
2018,2,XGB,8-30,2018-12-28,fx_TS_lag28,0.27948009967803955
2018,2,XGB,8-30,2018-12-28,fx_SWC_roll7,0.04299100860953331
2018,2,XGB,8-30,2018-12-28,fx_TS_roll7,0.01831883192062378
2018,2,XGB,8-30,2018-12-28,fx_SWC_roll14,-0.03530806303024292
2018,2,XGB,8-30,2018-12-28,fx_TS_roll14,-0.037293337285518646
2018,2,XGB,8-30,2018-12-28,fx_DOY_sin,-0.035249389708042145
2018,2,XGB,8-30,2018-12-28,fx_DOY_cos,0.16781887412071228
2018,2,XGB,8-30,2018-12-28,fx_is_growing,0.0
2018,2,XGB,8-30,2018-12-28,fx_is_winter,0.0
2018,2,XGB,8-30,2018-12-28,fx_lsu_dens,-11.81416130065918
2018,2,XGB,8-30,2018-12-28,fx_grazing_active,-0.044193197041749954
2018,2,XGB,8-30,2018-12-28,fx_days_since_grazing,0.1005685031414032
2018,2,XGB,8-30,2018-12-28,ar_fc_dlag1,0.15667890012264252
2018,2,XGB,8-30,2018-12-28,is_t2,0.0
2018,2,XGB,8-30,2018-12-28,is_t4,0.1996217668056488
2018,2,XGB,8-30,2018-12-28,is_t9,-0.16987521946430206
2018,2,LightGBM,8-30,2018-12-28,ar_ch4_dlag1,-5.442524104023743
2018,2,LightGBM,8-30,2018-12-28,ar_ch4_dlag2,-0.4413625037190194
2018,2,LightGBM,8-30,2018-12-28,ar_ch4_dlag3,0.4025313502223263
2018,2,LightGBM,8-30,2018-12-28,ar_ch4_dlag7,0.03708028282705555
2018,2,LightGBM,8-30,2018-12-28,ar_ch4_dlag14,-0.06838948131314009
2018,2,LightGBM,8-30,2018-12-28,ar_ch4_drm7,-0.892311922902904
2018,2,LightGBM,8-30,2018-12-28,fx_WS_mean,0.1540748153955496
2018,2,LightGBM,8-30,2018-12-28,fx_USTAR_mean,-1.5606322410470734
2018,2,LightGBM,8-30,2018-12-28,fx_TA_mean,-0.40299139487539687
2018,2,LightGBM,8-30,2018-12-28,fx_TA_min,-0.052348076818913125
2018,2,LightGBM,8-30,2018-12-28,fx_TA_max,-0.4172666108039968
2018,2,LightGBM,8-30,2018-12-28,fx_VPD_mean,-0.3060641621251049
2018,2,LightGBM,8-30,2018-12-28,fx_SWIN_mean,0.1122602498288577
2018,2,LightGBM,8-30,2018-12-28,fx_RN_mean,-0.11253747601021637
2018,2,LightGBM,8-30,2018-12-28,fx_PPFD_mean,-0.41644459157854236
2018,2,LightGBM,8-30,2018-12-28,fx_SWC_mean,0.12023862757263247
2018,2,LightGBM,8-30,2018-12-28,fx_TS_mean,-0.27829658689246073
2018,2,LightGBM,8-30,2018-12-28,fx_SHF_mean,-0.17678252170439093
2018,2,LightGBM,8-30,2018-12-28,fx_PRECIP_sum,-0.7574785089473801
2018,2,LightGBM,8-30,2018-12-28,fx_wd_sin,0.3781009471472348
2018,2,LightGBM,8-30,2018-12-28,fx_wd_cos,0.2923545609006449
2018,2,LightGBM,8-30,2018-12-28,fx_SWC_lag7,-0.12899331453134577
2018,2,LightGBM,8-30,2018-12-28,fx_TS_lag7,0.3395735294593461
